"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Ghia Lynn,Ghia or Geeg,1,Border Collie/ Chinese sharpei
Dog,Delilah,Lilah,7,Beagle
Cat,Bailey's Irish Cream,Bailey,13,Siamese Mix
Dog,Treacle,Treacle,10,Border Collie cross (mongrel)
Dog,Sam,Sam,11,Labrador Retriever
Dog,Tyson,"Tysbert, T McT, Mucki, Muckelbert, Muckmuck, Maggey",14,Rottweiler-German Shepherd-Mix
Cat,Madison Square Garden,Square,2,Unknown
Cat,Garfield,Cooter 😳,8,Domestic shorthair
Dog,Parker,Parker,11,Goldendoodle
Dog,Captain Avro Clarence,Avro,6,Schnauzer
Dog,Caroline,Weentz,4,Mongrel
Dog,Linda,Linda,10,West Highland White Terrier
Cat,Stellabella,Stella,7,Tortie
Dog,Toby Wooferton,Toby,18,Mongrel
Dog,Sacha,Fjollehoved (Danish for goofball),13,Golden Lab
Cat,Ponce de Leon,Ponce,7,Domestic shorthair
Dog,Snickers,Snicks,14,Labradoodle
Cat,Echo,Echo,12,Unknown
Cat,Tiga,Tiga,7,Domestic shorthair
Dog,Sherlock Bones,Sherlock,4,Pit bull mix
Dog,Irene Adler,Addie,8,Bulldog
Cat,Bloo,Bloo,11,Unknown
Dog,Wallace,Wally,2,Labradoodle
Dog,Dude,Handsome,2.5,Labrador Retriever
Cat,Mitten,Tuna,13,Unknown
Dog,Bailey,Bailey,9,Golden Retriever
Dog,Willow,Sweetie,6,Labrador Retriever
Dog,Philistine Smoosh,Bill,14,Jack Russell Terrier
Cat,Kitty Cat,KC,13,Unknown
Cat,Elvis,Tubby,12,Siamese
Dog,Henry Nacho,Henny,8,Golden Retriever
Dog,Maximilian Kolby,Maxy,16,Golden Retriever
Dog,Argos,Argos,6,Mongrel
Ferret,Buttercup,Butter,Unsure,Unknown
Elephant ,Jumbo,Jumbo,19,Loxodon
Dog,Madeline Grace,Ma ma,15,Golden Retriever
Dog,Elvis,Elvis,11,Cockapoo
Dog,Coconut Butter,Coco,5,Mongrel
Dog,Lucy-fur,Lucy,12,Golden Retriever
Dog,Sophie Grace,Soph,13,Brindle Black
Dog,Prince,Prince,14,"Poodle, Shih Tzu and a misc terrier/sporting breed mix"
Dog,Jackson Buttsickle,Jacks,4,Mongrel
Dog,Lassie,Lass Lass,14,Moth Eaten Carpet
Dog,Charles Xavier II,Charlie,4,Great Pyrenees
Cat,GingerSnapz C. Cat,GingerSnapz,7,Domestic shorthair
Dog,Caroline,Caroline,5,Purebred Alabama Mutt
Cat,Shadow,Shadow,11,Unknown
Cat,Murray 2,Murray,7,Unknown
Dog,Beau,"Goomby, Mr. Beauregard",4,Golden Retriever
Dog,Lindon,Lindy loo,10,Pit bull/lab mix
Cat,Marilyn,"Chirp, Pumpkin Pie, Meow Meow",5,Orange
Dog,Tedward,Teddy,4,Shi Tzu mix
Dog,Zuzu,Zu,4,Shih Tzu x Bichon
Dog,Marcus Brutus,Brutus,4,Boxer
Cat,Charlie Chaplin,Charlie,1,Unknown
Cat,Molly Tigerlily,Molly,1,Unknown
Cat,Britannia,Brit,10,Unknown
Dog,Brownie Leigh,Brownie,3,Golden Shepherd
Dog,Jersey Girl,Jersey,11,Husky/malamute/sneaky neighbor's dog mix
Dog,Stella,Stells,10,Goldendoodle
Dog,Lizzie,Lizzie Pie,6,Husky/sneaky neighbor's dog mix
Cat,Marby,Beanie baby,14,American shorthair
Dog,Roxy,Roxy Socks,1,Mongrel
Dog,Coco Murfree,Coco,9,Border Collie
Dog,Ozzy,Ozlet,1,Mini Australian Shepard
Dog,Winston Pigaloo,Winston or Lewis,6,Pug
Dog,Noodle,Noodle / Weenie,13,Weiner Dog
Dog,Phantom,Phantom,5,Staffordshire pit bull
Dog,Ellen Park,Ellen,3,Golden Retriever
Cat,Meredith,Mer,1,Domestic shorthair
Cat,Brennan Zachary,Punkin butt,8,Domestic shorthair
Other,Fishy,Fishy,18,Unknown
Dog,Spud,Schmoops,1.5,Pembroke Welsh Corgi
Dog,FN 2187,Finn,1.5,Goldendoodle
Cat,Frank En Stein,Franc,8,Maine Coon
Dog,Pisco,Pisco,5,German Wirehaired Pointer
Dog,Sadie,Sadie,3,German Shepherd
Dog,Lola,Loli Ravioli,0.7500006,Golden Retriever
Dog,Addie Heart,Addie,8,Lab/Chow chow mix
Dog,Ernie,"Ernburn, Erndog, Ernieworm",1,Unknown
Chinchilla,Milo Chicken Nugget,Milo,0.2500002,Unknown
Cat,Melon,Mel,3,Black
Dog,Semaj,"Sammich, Dumbledork",4,Shih Tzu
Dog,Maya,"Little Miss Maya, Diva",8,Shih Tzu
Dog,Bijou,Bijou,12,Jack russel terrier x toy poodle
Dog,Pesto,Pesto,0.7500006,Beagle
Dog,Maggie,Magz,Unknown,Eskimo mix
Cat,Doctor snuggles von fluffybottom,Doc,6,Unknown
Dog,Toby,Toby,1,Golden Retriever
Dog,Jacob Marley,Jake,6,Golden Retriever
Cat,Dixie,potato,11,fluffy
Dog,Cujo,Bubby,11,Cocker Spaniel
Cat,Finn,Finnard,9,Domestic Longhair
Dog,Maizie,Maizie,0.3333336,Mini schnauzer
Dog,Bruce D4,Bruce,12,Dachshund
Dog,Jackie Kate,Jackie,5,Lab/beagle mix
Dog,Daisy Bear,Daisy or Bear,2.5,German Shepherd
Gecko,Donut,Donut,5,Crested Gecko
Fish,Whiskers Goldie-the-Goldfish Sweetie,Whiskies,2,Betta fish
Dog,Tinker Stinker,Stinks,2.5,German Shepherd
Cat,Vinnie,Huggiebear Biden,4,Unknown
Cat,Watson & Crick (I have two cats),Dr. Watson & Dr. Crick,8.5,American shorthair
Dog,Mile High Ice Storm,Miles,7,Golden Retriever
Dog,Breezy Bear,Breezy,1,Golden Retriever
Dog,Nara,Gorda,3,Australian Cattle Dog
Dog,"Wyatt Daniel, the Wild Corgo",Wyatt,2,Pembroke Welsh Corgi
,,Petra,,Golden Retriever
Fish,Waffle,Waffle,2,Betta fish
Dog,Rosie,Rosie,10,Walker Hound
Dog,Lilly,Lilly,10,German Shepherd/Husky/Beagle/Chow Chow
Dog,Charles,Charles,12,Miniature Schnauzer/Poodle
Dog,Pippa,Pip,1.1,Goldendoodle
Dog,Oliver,Ollie,7,Jack Russell Terrier
Dog,Kiku,Kiku,3,Mongrel
Dog,Brandy,Brenda,10,Havanese
Dog,Bobby,bobkin,8,Shih Tzu
Dog,Emma,Emma,12,Shih-Tzu Poodle Mix
Dog,Bessy,Bess,10,Labrador Retriever
Cat,Romanovski,Romi,5,Domestic shorthair
Cat,Fifi La Pou,Fifi,2,Domestic Longhair
Cat,Georgie Porgie,Georgie / Saucy,1,Domestic shorthair
Dog,Dakota,"Woobis, Woobie",13,Mongrel
Dog,Altrichter,Cooper,9,Golden Retriever
Dog,Tucker,Tuck,7,Golden Retriever
Cat,Milo,Milo,13,Tabby
Fish,Pepperwood,Pepperwood,1,Betta fish
Cat,Jameson Chewbacca,Jamie,15,American shorthair
Dog,Penny Bellew,Penny,6,Labrador Retriever
Cat,Buddy,Buddy,2,Unknown
Cat,Cat Jenkins,Cat,2,Unknown
Cat,Crouton,Crouton,3,Unknown
Dog,Morena,Morena,2,Corgi
Cat,Samus Aran,Samus,14,Tabby
Dog,Brownie,Bub,13,Maltipoo
Dog,Mose Schrute,Mose,2,German Shepherd
Dog,Rocky,Rocky,6,Corgidor
Cat,Rosalind Franklin,Rosie,1,Unknown
Cat,Harley quinn,Baby Kitty,5,Unknown
Fish,Sushi,Sushi,2,Betta fish
Cat,Mister Beans,Mister beans/ beans/ beansy boi,10,Grey domestic short hair
Fish,Lord Baphomet: Destroyer of Worlds,Baphomet,We rescued from a fountain. Unknown. ,Unknown
Dog,Tyler John (had to give him a middle name for when he was in trouble),Ty,12,Rhodesian Ridgeback
Cat,Adanac,Chunky,2,American shorthair
Cat,Callister,Callibean,2,American shorthair
Dog,Tux,Tux,9,Black lab mix
Dog,Ruby,Ruby,3,coonhound/beagle
Dog,Pooch-K,Pooch-k the pooch,7,Mongrel
Dog,Scooby,Scoobers,0.5833338,Mongrel
Cat,Dwayne,"Mr. Baby Dwayne, Dwaniel, Bub.",3,American shorthair
Cat,Alice,"Spippy, Speeps, Kitten.",11,American shorthair
Dog,Lloyd,Lloyd,11,Golden Retriever
Cat,Bo Schembeckler,Kitty,15,Shorthair cat
Dog,Ishka,Ish/Ishka,8,Golden Retriever
Dog,Millie,Millie,1.5,Border Collie
Dog,Rossa,"Ross, Rossy, Rossapoo",5,Golden Retriever
Dog,Wookie,Wookie,7,Goldendoodle
Dog,Tucker,Tucker,2,Labrador Retriever
Dog,Keifer,Keifer,14,Yellow lab
Dog,Frankie,Frankie,7,Husky mix
Cat,Tenzing,Tenzing,12,Shorthair calico
Dog,Sammy,Sam,5,JRT/miniature pincher
Dog,Barrett,Barrett,3,German Shepherd
Dog,Benjamin,Benj,2,Border Collie/Belgian Malinois
Dog,Laney,Laney,12,Golden Retriever
Dog,Dixie,Lady,3,American Pitbull
Dog,Diesel,Diesel,3,Pit bull mix
Hamster,Hamtaro,Hamtaro,🤷🏼‍♀️,Unknown
Dog,Baxter,Baxter,7.5,Golden Retriever
Dog,Riley Marie,Riley,13,Cocker Spaniel
Dog,Reginald Fonzerelli Hawkes,Reg,12,Goldendoodle
Cat,Molly,Molly,6,Unknown
Cat,Kevin,Booboo,3,Unknown
Dog,Erik,Earwig,4,Wirehaired dachshund
Dog,Oliver,Oli,8,Jack Russell
Spiney leaf insect,Thing one,Her,1,Unknown
Dog,Bilbo Spud Doggins,Bilbo,5,Corgi/Cocker Spaniel mix
Dog,Bailey Woofer,Bailey,13,Cocker Spaniel
Cat,Roy lee laramie,Roy,10,Unknown
Cat,Petunia,Tuney,8,Unknown
Dog,Skyy like the vodka,Skyy,3,Husky
Other,Stubbs,Stubs,15,Leopard gecko
Dog,Malibu like the rum,Malibu,1,Golden Retriever
Dog,Golden Tate,Tate,2,Golden Retriever
Dog,Bear,Bear,0.5833338,Labrador Retriever
Dog,Stanley,Stan,0.5000004,Miniature schnauzer
Cat,Coco,Coco,4,Shorthair cat
Dog,Andromeda Mae,Andie,6,Goldendoodle
Dog,Eloise Gertrude,Ellie,2,Labradoodle
Dog,Lady Bonnie of Coventry,Bonnie,8,Black lab mix
Cat,Ophelia Marie KitKat Mcdougle O’Malley Jr.,Ophelia,9,Unknown
Cat,Sie Isaac Newton,Newton,16,Unknown
Cat,Black Cat,BC,3,Unknown
Dog,Gibson,Gibby,2.5,Pit bull mix
Dog,Brewskie,Brew,11,Puggle
Cat,Wolfgang Motzart,Wolfie,7,American shorthair
Dog,Koli,Koli,11,Yorker Terrier/Silky Terrier Mix
Dog,Moxie Jean Narice,Moxie,1,German Shepherd mix
Dog,Dancer Pants,Dancer,17,Havanese
Cat,Kitty or The Cat (if she's being bad),Kitty,1,Unknown
Fish,Blueberry,Blue,0.5000004,Betta fish
